stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,walk_area,area_difference,,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality
1606,2.919,0.635,48,0.573,8.384,4.648,2,24,15,5,52,8,85,23,44,2,21,23,4,53,6,73,14,32,2.193,0.726,3254,Julio Palacios,40.48273,-3.69378,2082,0.010059539182362824,0.0009713453132588635,0.10268814522966435,0.00031671936925271047
1607,3.898,0.3758,54,1.142,8.379,4.651,5,36,40,5,67,14,151,28,65,2,20,23,4,53,6,73,14,33,2.185,1.713,3255,Julio Palacios,40.48268,-3.69399,2082,0.010059539182362824,0.0009713453132588635,0.10268814522966435,0.00031671936925271047
1608,3.415,0.3646,47,0.897,8.641,4.903,5,31,25,7,75,10,139,30,73,1,21,22,4,48,8,65,14,36,2.277,1.138,3256,Pedro Rico - Julio Palacios,40.48503,-3.69441,1414,0.005154011046323315,0.0009713453132588635,0.09596383296047725,2.359925445235334e-06
1609,2.905,0.5897,41,0.827,8.628,4.882,5,28,31,5,57,11,120,18,54,2,21,22,4,45,9,68,13,35,2.26,0.645,3257,Pedro Rico - Julio Palacios,40.48492,-3.69412,1414,0.005154011046323315,0.0009713453132588635,0.09596383296047725,2.359925445235334e-06
1610,5.227,0.4097,77,2.239,8.571,4.957,11,49,43,9,107,16,209,44,118,1,27,26,5,69,9,73,20,53,2.684,2.543,3258,Pedro Rico - Arzobispo Morcillo,40.48422,-3.6981,2043,0.020212717347359032,0.0009713453132588635,0.10594288654489323,0.0006560418992732917
1611,2.749,0.5611,41,0.519,8.544,4.937,1,24,13,5,52,8,84,21,43,2,28,25,5,71,9,73,20,54,2.697,0.052000000000000046,3259,Pedro Rico - Arzobispo Morcillo,40.48396,-3.69823,2043,0.020212717347359032,0.0009713453132588635,0.10594288654489323,0.0006560418992732917
1612,5.181,0.6235,102,2.301,8.742,5.302,6,50,34,8,148,15,115,50,106,5,27,13,5,66,8,80,27,55,2.88,2.301,3260,Fermín Caballero - Patones,40.48527,-3.70393,2015,0.045066646682061375,0.0014570179698882952,0.10773899848254932,0.011553988821974042
1614,5.846,0.4568,104,2.984,8.624,5.329,6,56,42,11,152,19,135,60,119,6,36,26,7,81,11,99,35,85,3.292,2.5540000000000003,3261,Metro Herrera Oria,40.48377,-3.70747,2025,0.024911654861489784,0.003399708596406022,0.10605202163275818,0.050273579047242806
1615,5.401,0.7279,81,2.089,8.559,5.342,6,54,37,9,172,17,119,53,116,5,40,25,6,88,10,98,33,94,2.99,2.4109999999999996,3262,Colegio Valdeluz,40.48291,-3.70927,2023,0.005282556608494833,0.0014570179698882952,0.095990675990676,0.0020036316648967653
1616,4.803,0.5733,90,1.917,8.547,5.331,6,49,33,8,136,14,114,46,103,5,40,25,7,88,10,99,33,95,3.022,1.7810000000000001,3263,Colegio Valdeluz,40.48281,-3.70922,2023,0.005282556608494833,0.0014570179698882952,0.095990675990676,0.0020036316648967653
1617,6.053,0.6623,90,2.137,8.546,5.429,6,59,46,9,194,18,125,61,120,5,44,34,6,95,10,101,34,98,2.822,3.231,3264,Plaza De Cieza,40.48238,-3.7118,2022,0.0009750520086641964,0.0009713453132588635,0.08780758241289607,0.0011025562590629902
1618,5.052,0.6146,83,1.914,8.533,5.417,6,50,34,9,155,16,115,51,109,5,44,34,6,97,10,101,34,101,2.88,2.1719999999999997,3265,Plaza De Cieza,40.48227,-3.71175,2022,0.0009750520086641964,0.0009713453132588635,0.08780758241289607,0.0011025562590629902
1619,4.456,0.4018,61,0.956,8.448,5.543,5,57,45,5,173,14,106,46,103,5,43,32,6,130,11,97,37,89,3.29,1.1660000000000004,3266,Fermín Caballero - Isla De Arosa,40.48057,-3.71648,2030,9.44239359339739e-05,0.0009713453132588635,0.07679397284797852,9.240015781729113e-06
1620,4.421,0.6857,68,1.909,8.432,5.528,5,49,34,7,153,15,108,48,102,5,45,32,6,131,11,96,37,89,3.371,1.0500000000000003,3267,Fermín Caballero - Isla De Arosa,40.48044,-3.7164,2030,9.44239359339739e-05,0.0009713453132588635,0.07679397284797852,9.240015781729113e-06
1621,4.891,0.2989,77,1.476,8.373,5.618,5,60,42,5,187,15,99,47,98,5,41,25,2,120,11,75,37,74,3.177,1.714,3268,Fermín Caballero - Islas Cíes,40.47918,-3.71951,2033,0.00011012348460882517,0.0009713453132588635,0.07752259036144578,0.00012147707977861316
1622,4.008,0.6024,59,1.068,8.355,5.607,5,55,41,6,155,14,109,44,106,5,41,27,2,120,11,73,37,73,3.191,0.8170000000000002,3269,Fermín Caballero - Islas Cíes,40.479,-3.71956,2033,0.00011012348460882517,0.0009713453132588635,0.07752259036144578,0.00012147707977861316
