Unnamed: 0,stop_id,stop_name,stop_lat,stop_lon,clust,geometry
1433,1156,NTRA.SRA.FATIMA-EUGENIA DE MONTIJO,40.378407928989965,-3.7483659971291687,1299,POINT (-3.74879336357117 40.3782424926758)
1436,2547,OCA-MATILDE HERNÁNDEZ,40.389973620808924,-3.735139305610657,1210,POINT (-3.7354781627655 40.389835357666)
1437,562,AV.CARABANCHEL ALTO-AV.LA PESETA,40.36199562164305,-3.7541995521163924,836,POINT (-3.75405097007751 40.3616676330566)
1440,par_8_3715,OCA-PINZON,40.3887882232666,-3.74049174785614,1277,POINT (-3.74054527282715 40.3888359069824)
1442,2462,EUGENIA DE MONTIJO-PZA.PARTERRE,40.375636249248814,-3.750491724988497,1297,POINT (-3.750807762146 40.3750686645508)
1444,4019,AV. CARABANCHEL ALTO-Nº 44,40.37211249969482,-3.752017919445038,1283,POINT (-3.75221085548401 40.3720054626465)
1447,340,GTA.VALLE DE ORO-GRAL.RICARDOS,40.38852360735211,-3.7310405876922617,1211,POINT (-3.73111486434937 40.3883934020996)
1450,660,AV.POBLADOS-COMISARIA,40.382160400085446,-3.757871428813935,1267,POINT (-3.75775003433228 40.3817443847656)
1452,662,AV.POBLADOS-PARQUE EUGENIA MONTIJO,40.378426021118145,-3.7557982298278825,622,POINT (-3.75596928596497 40.3784141540527)
1455,628,CTRA.BARRIO DE LA FORTUNA-XILÓFONO,40.369537232666026,-3.7660945012664797,829,POINT (-3.76643514633179 40.3694953918457)
1459,359,COLONIA AVIACIÓN,40.37348607592772,-3.7654439299850453,1234,POINT (-3.76525950431824 40.3749008178711)
1461,361,MAESTRA JUSTA FREIRE,40.37743304656983,-3.7663680417060847,1232,POINT (-3.76632595062256 40.3775253295898)
1464,4504,RAFAEL FINAT-AVENIDA DE LAS ÁGUILAS,40.38377883300781,-3.7646912134443014,1268,POINT (-3.76526379585266 40.3836135864258)
1466,580,RAFAEL FINAT Nº 36,40.38157125946045,-3.767602555408477,924,POINT (-3.767737865448 40.3815231323242)
1469,2436,PORTALEGRE-COLEGIO,40.3851813343811,-3.7235622867965685,1177,POINT (-3.72366881370544 40.3851165771484)
1470,2446,AV.ABRANTES-BESOLLA,40.37597084991455,-3.73470509317398,1314,POINT (-3.73465347290039 40.3757476806641)
1473,2438,AV.ABRANTES-PELICANO,40.383084384033204,-3.7258455003967286,1180,POINT (-3.72565960884094 40.3828964233398)
