stop_id,multimodal_gini
F00565,0.1427
F00566,0.1538
F00567,0.1389
F00569,0.154
F00570,0.151
F00574,0.1622
F00575,0.1622
F00576,0.1364
F00577,0.1503
F00580,0.1556
F00581,0.1518
F00583,0.1473
F00584,0.1527
F00585,0.1456
F00586,0.1457
F00587,0.1444
F00588,0.1513
F00589,0.1481
F00590,0.1459
F00591,0.1448
F00592,0.1556
F00594,0.1448
F00595,0.149
F00596,0.1447
F00597,0.1556
F00598,0.149
F00599,0.1456
F00602,0.1434
F00603,0.1491
F00604,0.1512
F00605,0.1544
F00606,0.1468
F00607,0.1497
F00608,0.1356
F00609,0.1277
F00610,0.1401
F00611,0.1485
F00612,0.1523
F00613,0.1484
F00614,0.1487
F00615,0.1449
F00616,0.1475
F00617,0.1563
F00618,0.1488
F00620,0.1507
F00621,0.1435
F00622,0.1466
F00623,0.1459
F00626,0.1452
F00627,0.1421
F00628,0.1425
F00629,0.1397
F00630,0.1563
F00631,0.1441
F00634,0.1268
F00635,0.1378
F00636,0.1804
F00637,0.1741
F00638,0.1731
F00639,0.1873
F00645,0.1702
F00646,0.1706
F00649,0.1886
F00650,0.1647
F00653,0.1994
F00654,0.2017
F00655,0.1986
F00656,0.2017
F00657,0.1942
F00658,0.1999
F00659,0.1919
F00660,0.1942
F00661,0.1874
F00662,0.1802
F00663,0.1919
F00664,0.1685
F00665,0.1543
F00666,0.1767
F00667,0.1728
F00668,0.173
F00669,0.1494
F00670,0.1751
F00671,0.2021
F00672,0.1512
F00673,0.1464
F00674,0.1745
F00676,0.1986
F00677,0.1972
F00679,0.1641
F00680,0.144
F00681,0.162
F00682,0.1919
F00683,0.1954
F00684,0.1433
F00685,0.1431
F00688,0.1277
F00690,0.1851
F00691,0.1379
F00692,0.1305
F00693,0.1347
F00697,0.1419
F00698,0.1419
F00699,0.156
F00700,0.1277
F00701,0.1491
F00702,0.1506
F00703,0.1405
F00704,0.1412
F00705,0.1169
F00706,0.1346
F00707,0.1572
F00708,0.1558
F00709,0.1527
F00710,0.1485
F00711,0.1653
F00712,0.1592
F00713,0.1525
F00714,0.1573
F00715,0.1573
F00717,0.1562
F00718,0.1477
F00720,0.1572
F00721,0.1621
F00722,0.1648
F00723,0.1606
F00724,0.1644
F00725,0.1643
F00726,0.155
F00727,0.1518
F00728,0.1636
F00729,0.1507
F00730,0.1515
F00731,0.1551
F00732,0.1512
F00733,0.1438
F00735,0.159
F00736,0.1387
F00739,0.1404
F00740,0.1438
F00743,0.1377
F00744,0.1397
F00746,0.1436
F00747,0.1591
F00748,0.1401
F00749,0.1454
F00750,0.1511
F00751,0.1544
F00752,0.1467
F00753,0.1666
F00754,0.1561
F00755,0.1614
F00756,0.1609
F00757,0.1647
F00758,0.1462
F00759,0.1491
F00760,0.1507
F00761,0.1477
F00762,0.1481
F00764,0.1725
F00767,0.142
F00768,0.1404
F00769,0.1422
F00770,0.1606
F00771,0.1406
F00772,0.1393
F00773,0.1511
F00774,0.1376
F00775,0.1455
F00776,0.1524
F00777,0.1485
F00778,0.1325
F00779,0.1348
F00780,0.1457
F00781,0.1443
F00782,0.1391
F00783,0.1384
F00784,0.1295
F00785,0.1388
F00786,0.1235
