stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,total_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,total_walk15,walk_area,area_difference,stop_name,stop_lat,stop_lon,cluster,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,gini_house_walk15,gini_house_multimodal,walk15_mean_price,multimodal_mean_price,gini_walk15,gini_multimodal,arpu_low_ratio_walk15,arpu_low_ratio_multimodal
008148,10.406,0.5232,45,10.683,3.423,1.73,46,46,128,26,114,40,213,60,89,762,7,2,11,0,15,2,13,11,2,63,2.947,7.459,Kőbányai út / Könyves Kálmán körút,47.485742,19.107077,608,0.0038052310934308,0.0039350713231677,0.084874545985889,0.0326580170303572,0.1803,0.1674,0.632,0.596,0.228425,0.198213,0.443593,0.487025
008152,6.925,0.4005,35,4.386,2.748,2.893,22,28,54,16,61,8,217,25,74,505,12,8,19,8,14,5,45,7,17,135,2.829,4.096,Mester utca / Könyves Kálmán körút,47.469596,19.083728,1384,9.297583477157398e-05,0.0019675356615838,0.0801055991173805,0.0560208431293307,0.1253,0.17,0.654,0.632,0.185165,0.210265,0.450954,0.451153
008155,11.531,0.4928,60,11.394,2.44,3.205,46,49,99,25,114,32,444,54,214,1077,9,8,9,3,13,2,52,3,20,119,2.094,9.437,Közvágóhíd H,47.468737,19.072756,1393,0.0001355943240673,0.0063944909001475,0.0797974643796365,0.1612484596000295,0.1589,0.2165,0.703,0.545,0.175083,0.192145,0.458493,0.464453
008156,8.543,0.572,49,9.48,8.943,7.152,2,8,35,4,46,8,29,16,8,156,1,0,1,0,7,0,0,2,0,11,3.184,5.358999999999999,Új köztemető,47.473586,19.178326,508,0.0870343112500822,0.0044269552385636,0.0808253488649465,0.0892822684167254,0.1301,0.1401,0.483,0.446,0.106915,0.129048,0.347881,0.369343
008168,8.884,0.5943,49,6.607,10.8,12.347,12,10,22,4,38,7,33,20,18,164,0,5,11,1,12,2,5,9,6,51,2.635,6.2490000000000006,I. utca,47.400994,19.002739,1664,1.3654308179546387e-11,0.0014756517461878,0.0427666870017039,0.0022199373394966,0.1652,0.1791,0.427,0.391,0.122187,0.131098,0.222794,0.221582
008170,5.306,0.6348,28,3.121,12.569,14.213,6,8,14,3,24,3,24,10,12,104,5,2,4,2,14,2,4,4,1,38,2.23,3.076,Angeli utca / Nagytétényi út,47.390622,18.981,1619,6.42583820056799e-10,0.0014756517461878,0.0448825503355704,0.0077155902866327,0.1673,0.0185,0.351,0.135,0.183492,0.14982,0.246369,0.233668
008206,10.611,0.6277,56,6.722,3.974,2.66,73,48,105,24,87,38,485,69,175,1104,5,8,10,8,20,7,32,10,13,113,2.835,7.776000000000001,Mexikói út M,47.519261,19.091048,426,0.0007571010298928,0.0024594195769798,0.0768068306320601,0.0247944210129244,0.1403,0.1414,0.585,0.595,0.159345,0.18838,0.49509,0.453732
008209,10.081,0.2693,54,6.13,4.765,3.155,13,29,61,22,103,19,119,54,83,503,1,14,20,8,18,8,38,15,47,169,3.208,6.872999999999999,Nagy Lajos király útja / Czobor utca,47.52217,19.102815,778,0.0005329752043655,0.0024594195769798,0.0718501502032161,0.0056392004764305,0.1529,0.1428,0.571,0.6,0.129866,0.130693,0.46204,0.4623
008218,7.992,0.2589,44,5.267,1.551,3.191,184,86,168,41,164,57,1340,65,381,2486,56,20,33,9,30,18,504,14,123,807,1.898,6.094,Széchenyi István tér,47.499014,19.047022,363,0.0004014029100379,0.0019675356615838,0.0860310608945876,0.0017969706734236,0.1696,0.1925,1.086,0.813,0.262123,0.251337,0.446218,0.460808
008238,7.757,0.4194,41,4.805,1.689,3.242,161,76,142,40,169,44,1201,65,379,2277,49,20,37,9,34,16,460,14,125,764,1.948,5.808999999999999,Széchenyi István tér,47.500543,19.04669,362,0.0005553820924106,0.0019675356615838,0.0857118765546608,0.0031332421624525,0.1707,0.1127,1.069,0.798,0.260741,0.235442,0.452559,0.454399
008239,7.721,0.4766,38,5.504,2.198,2.946,45,42,85,21,88,21,452,33,156,943,11,12,22,7,19,4,69,7,27,178,2.385,5.336,Müpa - Nemzeti Színház H,47.471165,19.073129,1392,9.458906759474942e-05,0.0014756517461878,0.0802637293221208,0.0317728791770935,0.1417,0.1702,0.671,0.634,0.193705,0.199873,0.463822,0.454272
008241,5.078,0.3952,28,1.69,4.873,3.517,14,17,32,14,46,11,67,27,55,283,0,8,9,5,10,3,16,7,14,72,2.34,2.7380000000000004,Szőnyi út,47.526625,19.09622,773,0.0002754924540472,0.0014756517461878,0.0686198400108009,0.0005195197685263,0.1484,0.1374,0.585,0.594,0.148244,0.18188,0.460575,0.470982
008242,6.868,0.3777,38,2.259,4.515,3.188,25,27,46,20,68,19,129,46,79,459,1,10,15,10,15,4,25,9,23,112,3.232,3.636,Teleki Blanka utca,47.523865,19.093761,777,0.0002150161865272,0.0009837678307919,0.0724828864803194,0.0001681175755147,0.1382,0.1374,0.583,0.594,0.168606,0.192836,0.476698,0.468692
008243,3.953,0.4944,25,1.502,10.874,9.333,0,7,19,4,33,7,16,9,22,117,0,2,3,1,8,1,1,4,4,24,2.393,1.56,Szántóföld utca,47.572244,19.13883,1796,4.6220527559611916e-08,0.0014756517461878,0.0517408123791102,0.0028719570015407,0.1337,0.1503,0.418,0.446,0.150549,0.12816,0.187607,0.317907
008245,6.938,0.2634,38,3.073,6.609,5.006,4,14,33,7,46,13,35,20,58,230,1,5,15,5,32,4,12,10,17,101,3.386,3.552,Kolozsvár utcai piac,47.536842,19.114916,831,2.6489288483362083e-06,0.0009837678307919,0.0575545678453132,0.0003795253709558,0.179,0.2037,0.49,0.49,0.122686,0.124969,0.398739,0.421092
008246,5.787,0.1328,34,2.427,8.848,7.148,1,13,37,8,50,14,29,16,30,198,1,6,14,0,46,1,16,6,15,105,3.075,2.712,Rákospalotai köztemető,47.55124,19.13601,814,3.915888422728049e-06,0.0009837678307919,0.0590010738021301,0.0040849258969372,0.1162,0.1451,0.433,0.418,0.135925,0.127619,0.420006,0.404432
008260,5.981,0.6394,36,2.648,6.582,7.896,5,11,20,18,43,10,50,35,25,217,2,4,8,5,19,1,13,14,6,72,2.94,3.041,Nagybányai út,47.528476,18.996294,1993,1.6048401883268742e-07,0.0009837678307919,0.0544908735157736,0.0047295024489019,0.1623,0.1477,0.819,0.829,0.132338,0.136004,0.240975,0.313113
008262,8.124,0.1098,39,5.888,3.539,1.585,25,30,74,19,63,22,113,31,56,433,5,5,14,1,11,3,22,9,8,78,2.852,5.272,Hidegkuti Nándor Stadion,47.49069,19.10891,605,0.0028787291558256,0.0019675356615838,0.083162889634296,0.0094467022880192,0.2095,0.1602,0.596,0.606,0.190996,0.195505,0.481671,0.477865
008269,3.258,0.9405,15,0.743,2.632,1.304,8,10,44,5,37,16,50,27,15,212,7,5,21,5,30,6,23,13,3,113,2.793,0.4649999999999998,Delej utca,47.484694,19.096209,452,8.837059802932909e-06,0.0009837678307919,0.0627198124267292,0.0002074114691277,0.1494,0.1551,0.511,0.637,0.21812,0.237202,0.489931,0.485533
008283,5.738,0.7417,29,3.217,11.546,10.553,0,7,23,7,51,8,20,13,10,139,0,0,2,3,15,0,1,5,0,26,3.247,2.4910000000000005,Óceán-árok utca,47.589986,19.100345,1785,1.6468463754185834e-10,0.0009837678307919,0.0479447208923896,0.0,0.1643,0.1459,0.487,0.48,0.123111,0.133589,0.253687,0.325131
008286,11.734,0.5217,53,10.643,3.168,2.257,47,57,109,26,141,24,326,58,113,901,5,4,13,4,27,4,27,12,4,100,3.231,8.503,Népliget M,47.476294,19.099288,616,0.0021332082339371,0.0029513034923757,0.0935357717966413,0.2155050729768478,0.1683,0.1868,0.569,0.554,0.214807,0.194729,0.457993,0.484618
008289,10.453,0.2349,61,4.507,9.787,8.561,4,33,62,13,130,17,71,41,52,423,0,9,10,3,51,3,17,8,15,116,3.27,7.183,Szilágyi utca,47.570877,19.11133,1870,3.5829841886959125e-08,0.0019675356615838,0.0510688537767841,0.0031359282892887,0.1626,0.1397,0.475,0.48,0.122909,0.130439,0.334825,0.389675
008336,2.622,0.5141,13,1.133,10.318,11.751,6,4,7,1,12,3,22,9,15,79,1,3,4,0,8,1,14,7,9,47,1.892,0.73,Növény utca,47.402071,19.01581,1669,8.059036393441836e-11,0.0019675356615838,0.0462192515800482,0.0054059844332865,0.1099,0.175,0.498,0.455,0.133395,0.134748,0.256339,0.270373
