stop_id,gini_walk15,gini_multimodal,arpu_low_ratio_walk15,arpu_low_ratio_multimodal
009470,0.115732,0.124738,0.252610,0.306157
009471,0.121584,0.121515,0.267735,0.303781
009474,0.122320,0.118579,0.306645,0.298580
009475,0.120358,0.125254,0.356863,0.347552
009480,0.114278,0.125656,0.356591,0.283090
009481,0.129707,0.149025,0.460160,0.469596
009482,0.157406,0.135762,0.239110,0.188021
009483,0.132728,0.126816,0.202830,0.209758
009484,0.134275,0.122571,0.243175,0.220233
009485,0.115730,0.121311,0.232571,0.218472
009486,0.115704,0.117941,0.238824,0.249035
009487,0.119908,0.119975,0.278869,0.247455
009491,0.130976,0.130753,0.275395,0.304098
009492,0.130720,0.131572,0.275470,0.280022
009493,0.132907,0.127100,0.268563,0.281936
009494,0.131958,0.125125,0.273978,0.271641
009495,0.131279,0.157069,0.400398,0.452875
009498,0.150333,0.159152,0.423973,0.403660
009499,0.137420,0.155317,0.414626,0.376841
009500,0.116679,0.123114,0.389297,0.290110
009501,0.113046,0.162190,0.375299,0.419982
009503,0.137751,0.122054,0.314830,0.308937
009504,0.138082,0.125438,0.311923,0.374930
009508,0.128291,0.205169,0.333035,0.405364
009509,0.127449,0.168583,0.333705,0.371027
009510,0.130509,0.194717,0.363557,0.386843
009511,0.131556,0.201514,0.367464,0.399862
009512,0.123095,0.145747,0.276241,0.361186
009513,0.127663,0.198358,0.314440,0.392498
009514,0.125721,0.190430,0.295125,0.388532
009515,0.119997,0.136639,0.415553,0.410744
009516,0.122637,0.134408,0.416752,0.404303
