stop_id,distance_from_largest_betweenness_centroid,distance_from_largest_betweenness_medoid,distance_from_landuse_centroid
F00018,2.973,2.943,4.929
F00019,3.028,2.997,4.92
F00020,3.028,2.997,4.91
F00022,3.066,3.035,4.908
F00023,3.107,3.076,4.941
F00024,3.129,3.098,4.936
F00025,3.13,3.099,4.928
F00026,3.061,3.029,4.863
F00027,3.095,3.063,4.891
F00028,3.245,3.213,4.928
F00029,3.232,3.2,4.923
F00030,3.115,3.084,4.703
F00031,3.146,3.115,4.745
F00032,3.214,3.183,4.716
F00033,3.263,3.231,4.787
F00034,2.952,2.921,4.361
F00035,2.943,2.912,4.368
F00036,2.963,2.932,4.409
F00045,2.357,2.325,4.045
F00047,1.94,1.909,3.723
F00048,1.916,1.884,3.704
F00051,2.196,2.165,3.787
F00052,2.15,2.119,3.76
F00057,2.505,2.474,3.918
F00066,2.541,2.511,3.952
F00067,2.546,2.516,3.98
F00069,2.896,2.865,4.513
F00070,2.931,2.899,4.545
F00071,2.507,2.476,4.22
F00072,2.494,2.463,4.206
F00073,2.249,2.217,4.021
F00074,2.218,2.186,4.007
F00076,1.88,1.848,3.805
F00077,1.921,1.89,3.867
F00078,1.895,1.864,3.851
F00079,1.91,1.88,3.887
F00080,1.854,1.824,3.833
F00081,1.835,1.805,3.815
F00082,2.378,2.346,4.232
F00083,2.308,2.277,4.195
F00084,2.224,2.193,4.117
F00085,2.398,2.367,4.292
F00086,2.337,2.305,4.236
F00087,2.436,2.405,4.34
F00088,2.589,2.557,4.406
F00089,2.677,2.645,4.536
F00090,2.695,2.663,4.555
F00091,2.952,2.92,4.7
F00092,2.94,2.908,4.695
F00095,2.841,2.811,4.805
F00096,2.8,2.77,4.764
F00098,2.543,2.513,4.491
F00099,2.551,2.521,4.534
F00102,1.518,1.488,3.532
F00103,1.396,1.367,3.443
F00104,1.399,1.37,3.453
F00105,1.426,1.396,3.464
F00106,1.418,1.387,3.387
F00107,1.395,1.365,3.378
F00108,1.115,1.087,3.211
F00110,1.3,1.272,3.387
F00111,1.136,1.109,3.245
F00113,1.143,1.115,3.23
F00114,2.957,2.925,4.605
F00119,7.049,7.02,7.997
F00120,6.427,6.398,7.319
F00121,6.479,6.45,7.373
F00122,5.947,5.918,6.892
F00123,5.911,5.882,6.858
F00124,5.622,5.592,6.656
F00125,5.577,5.548,6.603
