stop_id,mean_price
F00467,0.658
F00468,0.62
F00469,0.62
F00473,0.658
F00474,0.658
F00475,0.617
F00476,0.617
F00477,0.661
F00478,0.615
F00482,0.613
F00485,0.653
F00486,0.639
F00489,0.613
F00490,0.727
F00491,0.727
F00493,0.727
F00494,0.727
F00495,0.649
F00496,0.727
F00497,0.658
F00498,0.727
F00499,0.64
F00500,
F00501,
F00502,0.639
F00504,0.64
F00505,0.64
F00506,0.64
F00507,0.599
F00508,0.63
F00509,0.656
F00512,0.781
F00513,0.781
F00514,0.598
F00515,0.781
F00516,0.598
F00517,0.598
F00518,0.677
F00519,0.659
F00520,0.624
F00521,0.654
F00522,0.676
F00523,0.618
F00524,0.677
F00529,0.602
F00530,0.645
F00531,0.602
F00532,0.645
F00533,0.602
F00534,0.624
F00535,0.624
F00536,0.777
F00537,0.777
F00538,0.777
F00539,0.777
F00540,0.777
F00541,0.777
F00542,0.777
F00543,0.777
F00544,0.777
F00545,0.777
F00546,0.777
F00547,0.598
F00548,0.598
F00549,0.624
F00550,0.662
F00551,0.767
F00552,0.777
F00553,0.777
F00554,0.777
F00555,0.777
F00556,0.777
F00557,0.777
F00558,0.672
F00559,0.777
F00560,0.777
F00561,0.777
F00562,0.777
F00563,0.777
F00564,0.777
F00565,0.624
F00566,0.654
F00567,0.652
F00569,0.658
F00570,0.654
F00574,0.599
F00575,0.599
F00576,0.654
F00577,0.685
F00580,0.656
F00581,0.656
F00583,0.685
F00584,0.656
F00585,0.656
F00586,0.653
F00587,0.685
F00588,0.67
F00589,0.685
F00590,0.657
F00591,0.658
F00592,0.657
F00594,0.657
F00595,0.657
F00596,0.657
F00597,0.657
F00598,0.657
F00599,0.662
F00602,0.734
F00603,0.685
F00604,0.685
F00605,0.655
F00606,0.685
F00607,0.685
F00608,0.674
F00609,0.674
F00610,0.674
F00611,0.599
F00612,0.655
F00613,0.67
F00614,0.657
F00615,0.685
F00616,0.685
F00617,0.749
F00618,0.69
F00620,0.685
F00621,0.685
F00622,0.685
F00623,0.685
F00626,0.683
F00627,0.685
F00628,0.685
F00629,0.685
F00630,0.749
F00631,0.708
F00634,0.677
F00635,0.677
F00636,0.637
F00637,0.654
F00638,0.661
F00639,0.649
F00645,0.628
F00646,0.661
F00649,0.658
F00650,0.628
F00653,0.661
F00654,0.649
F00655,0.773
F00656,0.649
F00657,0.773
F00658,0.658
F00659,0.773
F00660,0.773
F00661,
F00662,
F00663,0.773
F00664,
F00665,
F00666,0.617
F00667,0.65
F00668,0.65
F00669,0.654
F00670,0.708
F00671,0.63
F00672,0.777
F00673,0.624
F00674,0.777
F00676,0.773
F00677,
F00679,0.624
F00680,0.672
F00681,0.69
F00682,0.658
F00683,0.727
F00684,0.657
F00685,0.654
F00688,0.674
F00690,0.63
F00691,0.415
F00692,0.415
F00693,0.564
F00697,0.455
F00698,0.455
F00699,0.417
F00700,0.414
F00701,0.479
F00702,0.564
F00703,0.414
F00704,0.564
F00705,0.463
F00706,0.412
F00707,0.402
F00708,0.48
F00709,0.48
F00710,0.48
F00711,0.402
F00712,0.48
F00713,0.48
F00714,0.48
F00715,0.48
F00717,0.48
F00718,0.48
F00720,0.48
F00721,0.48
F00722,0.48
F00723,0.48
F00724,0.48
F00725,0.48
F00726,0.487
F00727,0.403
F00728,0.48
F00729,0.488
F00730,0.403
F00731,0.403
F00732,0.48
F00733,
F00735,0.488
F00736,
F00739,0.48
F00740,0.48
F00743,
F00744,
F00746,
F00747,
F00748,0.48
F00749,0.48
F00750,0.48
F00751,0.48
F00752,0.48
F00753,0.403
F00754,0.403
F00755,0.48
F00756,0.403
F00757,0.403
F00758,0.48
F00759,
F00760,0.48
F00761,0.48
F00762,0.48
F00764,0.479
F00767,0.402
F00768,
F00769,0.564
F00770,0.402
F00771,
F00772,
F00773,0.48
F00774,0.564
F00775,0.48
F00776,0.564
F00777,0.564
F00778,0.564
F00779,0.546
F00780,
F00781,
F00782,0.564
F00783,0.564
F00784,0.564
F00785,0.564
F00786,0.564
F00787,
F00788,0.564
F00789,0.48
F00790,0.546
F00791,0.546
F00792,0.48
F00793,0.564
F00794,0.564
F00795,0.564
F00796,0.564
F00797,0.564
F00798,0.564
F00799,0.564
F00800,0.563
F00801,0.564
F00803,0.564
F00804,0.564
F00805,0.564
F00806,0.564
F00808,0.564
F00809,0.564
F00810,0.564
F00811,0.564
F00812,
F00813,0.564
F00814,0.564
F00815,0.564
F00816,0.564
F00817,0.564
F00818,0.564
F00819,0.564
F00820,0.564
F00821,0.564
