stop_id,distance_from_largest_betweenness_centroid,distance_from_largest_betweenness_medoid,distance_from_landuse_centroid
1370127,5.654,5.626,0.909
1370126,5.467,5.439,0.887
1370125,5.194,5.166,0.869
1361105,4.48,4.45,0.855
1361120,4.564,4.535,0.768
1361104,3.557,3.528,1.731
1362137,5.423,5.394,1.234
1362138,5.432,5.403,1.216
1431137,6.357,6.33,3.16
1431138,6.35,6.323,3.139
1454184,6.358,6.331,3.153
1361114,4.369,4.34,0.876
1361115,4.4,4.371,0.854
1361116,4.774,4.745,0.544
1361117,4.813,4.783,0.528
1361106,4.353,4.324,0.972
1361107,4.988,4.959,0.651
1361108,4.933,4.904,0.575
1383107,5.502,5.473,0.629
1383108,5.468,5.438,0.613
1383133,5.383,5.354,0.57
1383179,5.382,5.353,0.574
1363101,5.384,5.354,0.688
1240122,2.475,2.446,2.755
1240123,2.512,2.482,2.702
1240101,2.433,2.404,2.725
1260102,2.443,2.414,2.715
1383134,5.267,5.238,0.361
1383135,5.265,5.236,0.306
1383136,5.109,5.08,0.146
1383138,5.127,5.098,0.152
1386100,5.156,5.127,0.088
1386101,5.153,5.123,0.127
1383192,5.169,5.141,0.166
1285101,4.243,4.215,1.317
1285102,4.226,4.199,1.339
1383117,5.668,5.639,0.552
1383118,5.654,5.625,0.54
1383120,5.507,5.478,0.358
1383121,5.721,5.692,0.599
1383122,5.729,5.7,0.608
1383126,5.759,5.73,0.655
1383127,5.752,5.723,0.657
1383100,5.872,5.843,0.742
1383103,5.964,5.935,0.807
1383123,5.587,5.558,0.491
1383132,5.609,5.58,0.508
1383191,5.645,5.616,0.577
1494167,5.7,5.689,6.653
1494102,5.78,5.77,6.96
1494103,5.747,5.737,6.96
1493163,5.728,5.716,6.385
1494165,5.7,5.688,6.525
1494107,6.12,6.111,7.214
1494157,6.14,6.13,7.219
1494104,5.886,5.877,7.161
1494105,5.866,5.857,7.148
1491166,6.311,6.3,7.05
1491167,6.297,6.285,6.949
1493102,6.285,6.273,6.959
1491133,7.089,7.076,7.265
1491134,7.096,7.083,7.252
1491131,7.024,7.009,6.942
1491132,7.041,7.026,6.916
1491136,7.226,7.214,7.601
1495135,7.275,7.263,7.672
1495150,7.369,7.358,7.88
1495151,7.386,7.375,7.887
1495101,7.597,7.588,8.296
1495152,7.609,7.6,8.337
1495153,7.567,7.558,8.28
