stop_id,area,ellipticity,number_of_accessible_stops,concave_area,distance_betweenness,distance_from_landuse_centroid,cultural_institutions_multimodal,drugstores_multimodal,groceries_multimodal,healthcare_multimodal,parks_multimodal,religious_organizations_multimodal,restaurants_multimodal,schools_multimodal,services_multimodal,total_multimodal,cultural_institutions_walk15,drugstores_walk15,groceries_walk15,healthcare_walk15,parks_walk15,religious_organizations_walk15,restaurants_walk15,schools_walk15,services_walk15,total_walk15,walk_area,area_difference,eigenvector_centrality,degree_centrality,closeness_centrality,betweenness_centrality,cluster,stop_lat,stop_lon,stop_name,Unnamed: 0,weighted_gini_walk,weighted_gini_multi,weighted_med_inc_walk,weighted_med_inc_multi
1454120,7.03,0.7268,34,5.656,6.722,3.158,3,3,13,1,114,4,31,38,14,221,0,0,3,0,28,1,3,6,0,41,3.389,3.641000000000001,1.757216363304851e-05,0.0017152658662092,0.1018765062714126,0.0128138156314556,59,60.21841,25.04887,Myllärintie,2125,0.318867,0.318641,35666.0,36241.0
1362112,14.655,0.588,80,12.004,5.537,1.476,6,4,29,1,281,12,90,69,40,532,0,1,2,0,24,0,10,10,6,53,2.765,11.89,9.442478150135048e-05,0.0042881646655231,0.108416069278945,0.0226825137922863,238,60.22423,25.0203,Latokartano,1433,0.327639,0.318183,36028.0,36380.0
1456122,5.549,0.8151,27,4.141,7.134,3.821,1,3,12,0,72,3,33,22,12,158,1,0,2,0,41,2,12,10,0,68,3.333,2.216,5.185199990106497e-06,0.0017152658662092,0.0978611614057379,0.0121509493321005,401,60.214928,25.058645,Holkkitie,2181,0.314936,0.318165,35439.0,36205.0
1362131,11.697,0.6687,62,9.268,5.984,1.242,5,7,30,1,229,10,66,56,32,436,0,2,6,0,36,2,13,17,8,84,2.995,8.701999999999998,7.615239829672734e-05,0.0025728987993138,0.1049876608720394,0.0076745968094549,60,60.23078,25.02139,Ylioppilaskylä,1444,0.321314,0.319085,35296.0,36058.0
1362119,10.36,0.6761,57,7.502,6.561,1.764,6,4,23,2,193,5,44,59,25,361,1,0,3,0,39,2,7,13,3,68,2.971,7.388999999999999,1.7259976243105186e-05,0.0025728987993138,0.0951837672453909,0.0014710217331703,87,60.233,25.03099,Latokartanonkaari,1438,0.325352,0.322054,35735.0,35383.0
1362104,11.325,0.7752,62,7.935,6.809,1.942,6,6,28,1,240,8,74,57,43,463,1,0,3,0,35,2,7,12,3,63,2.985,8.34,1.7993057093520702e-05,0.0034305317324185,0.0955280689355255,0.0032775086344385,88,60.234826,25.033872,Agronominkatu kp,1429,0.323966,0.318905,35530.0,34969.0
1362105,20.27,0.6408,117,17.36,5.424,0.821,20,10,69,2,401,25,239,107,136,1009,0,2,7,0,35,1,13,12,6,76,3.427,16.843,0.000396476448285,0.0094339622641509,0.1170666361607628,0.1639999859103555,242,60.22862,25.01202,Viikki,1430,0.318617,0.318135,35188.0,36061.0
1473162,9.833,0.7825,63,7.493,10.892,6.824,2,5,29,2,138,8,80,39,29,332,0,0,2,0,36,1,3,3,2,47,3.2,6.633,2.67922478078116e-07,0.0017152658662092,0.08161855942486,0.0044138532775215,61,60.22755,25.12199,Uussillantie,2355,0.300036,0.306165,44618.0,38157.0
1473164,11.14,0.7617,70,14.141,11.227,7.071,2,7,33,2,155,10,99,41,39,388,0,0,3,0,32,1,3,4,2,45,3.166,7.974,1.280616892057819e-06,0.0017152658662092,0.0860106166196693,0.0056062382402522,397,60.23008,25.12675,Mellunmäentie,2357,0.2979,0.303543,40611.0,38196.0
1451192,9.69,0.7409,65,11.635,10.361,6.457,2,6,30,2,151,8,87,41,33,360,0,0,3,0,40,1,5,3,1,53,3.562,6.128,2.2584249437476002e-07,0.0025728987993138,0.0797039186865856,0.0132270474180652,410,60.22345,25.11436,Linnanherrantie,2039,0.304497,0.308118,48964.0,37398.0
1473122,3.234,0.3446,17,1.278,10.626,6.474,0,1,3,0,39,2,7,11,1,64,0,1,4,0,42,1,5,4,2,59,3.299,-0.0649999999999999,3.6479598550591913e-06,0.0017152658662092,0.0907957048391727,1.4723312156302682e-06,62,60.229243,25.115878,Uussillanrinne,2351,0.299537,0.307994,44298.0,43711.0
1473123,3.289,0.3901,18,1.193,10.336,6.181,0,1,4,0,39,2,7,11,3,67,0,1,3,0,34,0,5,7,1,51,3.405,-0.1159999999999996,4.310160187355261e-06,0.0017152658662092,0.0913955820773739,0.0001063315954257,64,60.22898,25.110548,Rekikuja,2352,0.301063,0.309225,46420.0,41649.0
1473121,2.76,0.4076,16,0.99,10.757,6.607,0,0,2,0,27,2,3,6,0,40,0,0,3,0,33,1,4,4,2,47,3.053,-0.2930000000000001,1.6260797896273585e-05,0.0017152658662092,0.0993929886692098,0.0016045172771366,63,60.22934,25.118306,Ojapuisto,2350,0.299049,0.307272,43403.0,46899.0
1451103,6.603,0.3953,43,2.13,9.887,5.788,3,8,30,3,94,7,95,28,40,308,0,0,2,0,31,1,5,6,0,45,3.566,3.037,2.0651741424865675e-05,0.0051457975986277,0.1005715276555073,0.0258884261317035,519,60.22724,25.10316,Huntutie,2003,0.303567,0.305212,48414.0,38972.0
1414145,5.678,0.7686,31,5.425,10.425,5.354,0,3,8,0,59,2,18,13,8,111,0,1,4,0,31,2,4,2,2,46,3.028,2.65,0.0001050677120177,0.0034305317324185,0.1130243585771551,0.1334519208805647,65,60.25679,25.08238,Louhikkotie,1839,0.293919,0.295996,32892.0,33974.0
1414143,8.077,0.835,43,6.486,10.039,4.987,0,4,18,0,97,5,34,26,17,201,0,1,3,0,35,1,4,3,2,49,3.116,4.961,9.142339509833448e-05,0.0025728987993138,0.1087203808506486,0.0060232759242905,72,60.2539,25.07806,Maratontie,1837,0.294144,0.310954,32670.0,37555.0
